id_inventario,sucursal,id_producto,nombre_producto,categoria,marca,stock_sucursal,stock_minimo,stock_maximo,precio_sucursal,ultima_reposicion,proveedor,pasillo,estado
INV000001,Buenos Aires,P0064,Sandwichera 3000,Cocina,ChefMaster,48,9,72,283.11,2025-10-30,ChefMaster,B18,Disponible
INV000002,Buenos Aires,P0286,Plancha Seca,Lavado,WashPro,68,13,102,1506.54,2025-11-15,WashPro,D10,Disponible
INV000003,Buenos Aires,P0009,Procesadora,Cocina,KitchenPro,19,5,28,1234.25,2025-11-12,KitchenPro,B14,Disponible
INV000004,Buenos Aires,P0288,Plancha Seca II,Lavado,FreshWash,50,10,75,195.22,2025-10-26,FreshWash,B16,Disponible
INV000005,Buenos Aires,P0062,Digital Sandwichera Plus,Cocina,HomeChef,5,5,7,2486.77,2025-11-04,HomeChef,A14,Disponible
INV000006,Buenos Aires,P0281,Profesional Plancha a Vapor Pro,Lavado,FreshWash,45,9,67,1302.58,2025-11-02,FreshWash,A13,Disponible
INV000007,Buenos Aires,P0200,Ventilador de Torre 3000,Climatización,PureAir,23,5,34,959.32,2025-11-09,PureAir,A15,Disponible
INV000008,Buenos Aires,P0179,Panel Calefactor,Climatización,EcoClima,21,5,31,174.73,2025-11-01,EcoClima,B13,Disponible
INV000009,Buenos Aires,P0180,Premium Panel Calefactor,Climatización,ThermoControl,9,5,13,2072.61,2025-11-08,ThermoControl,B20,Disponible
INV000010,Buenos Aires,P0272,Deluxe Lavavajillas,Lavado,WashPro,27,5,40,2867.18,2025-11-09,WashPro,C3,Disponible
INV000011,Buenos Aires,P0109,Conservadora X,Cocina,KitchenPro,1,5,1,1801.76,2025-11-17,KitchenPro,C2,Disponible
INV000012,Buenos Aires,P0146,Ultra Deshidratador,Cocina,ChefMaster,1,5,1,1114.16,2025-11-03,ChefMaster,D16,Disponible
INV000013,Buenos Aires,P0145,Deshidratador,Cocina,ChefMaster,17,5,25,298.03,2025-11-07,ChefMaster,D15,Disponible
INV000014,Buenos Aires,P0170,Deluxe Caloventor,Climatización,PureAir,18,5,27,400.12,2025-11-07,PureAir,A14,Disponible
INV000015,Buenos Aires,P0204,Neblinizador,Climatización,AirFlow,41,8,61,1529.95,2025-11-18,AirFlow,B13,Disponible
